name,size,mark,price,value,date,type
KINGSTON SHSS37A480G,447.1 GB,3353,NA,NA,Jul 2015,SSD
KINGSTON SHSS37A960G,894.3 GB,3616,NA,NA,May 2015,SSD
KINGSTON SKC1000240G,223.6 GB,10106,NA,NA,Aug 2017,SSD
KINGSTON SKC1000480G,447.1 GB,10429,NA,NA,Sep 2017,SSD
KINGSTON SKC1000960G,894.3 GB,10960,NA,NA,Jun 2018,SSD
KINGSTON SKC100S3120G,111.8 GB,2936,$149.00*,19.70,Nov 2012,SSD
KINGSTON SKC100S3240G,223.6 GB,3361,$249.00,13.50,Nov 2012,SSD
KINGSTON SKC100S3480G,447.1 GB,3032,$194.73,15.57,Aug 2013,SSD
KINGSTON SKC300S,223.6 GB,4226,NA,NA,Sep 2013,SSD
KINGSTON SKC300S37A120G,111.8 GB,3151,NA,NA,Jun 2013,SSD
KINGSTON SKC300S37A180G,167.7 GB,3571,NA,NA,Jan 2014,SSD
KINGSTON SKC300S37A240G,223.6 GB,3519,NA,NA,Jul 2013,SSD
KINGSTON SKC300S37A480G,447.1 GB,3354,NA,NA,Jul 2013,SSD
KINGSTON SKC300S37A60G,55.9 GB,2659,NA,NA,Nov 2013,SSD
KINGSTON SKC310S37A960G,894.3 GB,3608,NA,NA,Aug 2015,SSD
KINGSTON SKC380S3120G,111.8 GB,2268,$258.28,8.78,Nov 2013,SSD
KINGSTON SKC380S360G,55.9 GB,1943,$81.79*,23.76,Jan 2014,SSD
KINGSTON SKC400S37128G,119.2 GB,3011,NA,NA,Mar 2016,SSD
KINGSTON SKC400S371T,953.9 GB,3283,$425.70*,7.71,Aug 2016,SSD
KINGSTON SKC400S37256G,238.5 GB,3064,$178.27*,17.19,Jan 2016,SSD
KINGSTON SKC400S37512G,476.9 GB,3346,NA,NA,Mar 2016,SSD
KINGSTON SM2280S3120G,111.8 GB,3158,NA,NA,Jun 2014,SSD
KINGSTON SM2280S3240G,223.6 GB,3306,NA,NA,Nov 2014,SSD
KINGSTON SM2280S3G2120G,111.8 GB,2995,NA,NA,Feb 2016,SSD
KINGSTON SM2280S3G2240G,223.6 GB,3429,NA,NA,Mar 2016,SSD
KINGSTON SM2280S3G2480G,447.1 GB,3984,NA,NA,May 2016,SSD
KINGSTON SMS100S232G,29.8 GB,774,$49.48*,15.64,Feb 2013,SSD
KINGSTON SMS100S264G,59.6 GB,1317,$94.99*,13.86,Dec 2012,SSD
KINGSTON SMS151S324G,22.4 GB,1265,NA,NA,Dec 2013,SSD
KINGSTON SMS200S,111.8 GB,2919,NA,NA,Aug 2013,SSD
KINGSTON SMS200S3120G,111.8 GB,2951,$105.94,27.86,Jul 2013,SSD
KINGSTON SMS200S3240G,223.6 GB,3387,$116.90,28.97,Dec 2014,SSD
KINGSTON SMS200S330G,28 GB,1759,$42.37*,41.52,Jan 2014,SSD
KINGSTON SMS200S360G,55.9 GB,2583,$99.89*,25.86,Aug 2013,SSD
KINGSTON SMSM151S3128GD,119.2 GB,1585,NA,NA,Mar 2015,SSD
KINGSTON SNV325S2,119.1 GB,1221,NA,NA,Feb 2010,SSD
KINGSTON SNV425S,59.6 GB,1059,NA,NA,Dec 2012,SSD
KINGSTON SNV425S2128GB,119.2 GB,980,NA,NA,Feb 2010,SSD
KINGSTON SNV425S264G,59.6 GB,961,NA,NA,Oct 2012,SSD
KINGSTON SNV425S264GB,59.6 GB,910,NA,NA,Feb 2010,SSD
KINGSTON SNVP325S2128GB,119.2 GB,1223,NA,NA,Mar 2010,SSD
KINGSTON SNVP325S2256GB,238.5 GB,1214,NA,NA,May 2010,SSD
KINGSTON SNVP325S2512GB,476.9 GB,1257,NA,NA,May 2013,SSD
KINGSTON SNVP325S264GB,59.5 GB,1218,NA,NA,Feb 2010,SSD
KINGSTON SS050S232G,29.8 GB,642,$49.99*,12.84,Jan 2013,SSD
KINGSTON SS100S216G,14.9 GB,787,NA,NA,May 2013,SSD
KINGSTON SS200S330G,28 GB,1468,$89.99*,16.31,Mar 2014,HDD
KINGSTON SSDNOW 30GB,28 GB,712,$59.99*,11.87,Mar 2010,SSD
KINGSTON SSDNow 40GB,37.2 GB,851,$58.45,14.56,Nov 2009,SSD
Kingston SSDNow 64GB,59.5 GB,986,$224.88,4.38,Sep 2009,SSD
Kingston SSDNow V Series,119.2 GB,496,NA,NA,Dec 2012,SSD
Kingston SSDNow V Series 128GB,119.2 GB,545,$199.99*,2.73,Aug 2009,SSD
Kingston SSDNow V Series 64GB,59.6 GB,501,$140.99*,3.55,Jun 2009,SSD
KINGSTON SSDNow V+200 120GB,111.8 GB,2369,NA,NA,Feb 2012,SSD
KINGSTON SSDNow V+200 60GB,55.9 GB,1859,$84.95*,21.88,Feb 2012,SSD
KINGSTON SUV100S37A120G,111.8 GB,1939,NA,NA,Feb 2014,SSD
KINGSTON SUV300S,447.1 GB,3117,NA,NA,Jun 2016,SSD
KINGSTON SUV300S37A1,111.8 GB,1514,NA,NA,May 2016,SSD
KINGSTON SUV300S37A120G,111.8 GB,2944,NA,NA,Dec 2015,SSD
KINGSTON SUV300S37A240G,223.6 GB,3467,NA,NA,Dec 2015,SSD
KINGSTON SUV300S37A480G,447.1 GB,3467,NA,NA,May 2016,SSD
KINGSTON SUV400S,223.6 GB,3057,NA,NA,Jun 2016,SSD
KINGSTON SUV400S3712,111.8 GB,1382,NA,NA,Jul 2016,SSD
KINGSTON SUV400S37120G,111.8 GB,3125,NA,NA,Jun 2016,SSD
KINGSTON SUV400S3724,223.6 GB,1751,NA,NA,Jun 2016,HDD
KINGSTON SUV400S37240G,223.6 GB,3567,NA,NA,Jun 2016,SSD
KINGSTON SUV400S3748,447.1 GB,1737,NA,NA,Feb 2017,SSD
KINGSTON SUV400S37480G,447.1 GB,3634,NA,NA,May 2016,SSD
KINGSTON SUV400S37960G,894.3 GB,3959,NA,NA,Sep 2016,SSD
KINGSTON SUV500120G,111.8 GB,3121,NA,NA,Jun 2018,SSD
KINGSTON SUV500240G,223.6 GB,3480,NA,NA,Jun 2018,SSD
KINGSTON SUV500480G,447.1 GB,3874,NA,NA,Jul 2018,SSD
KINGSTON SUV500960G,894.3 GB,4286,NA,NA,Aug 2018,SSD
KINGSTON SUV500M8120G,111.8 GB,3523,NA,NA,Jun 2018,SSD
KINGSTON SUV500M8240G,223.6 GB,3467,NA,NA,Jun 2018,SSD
KINGSTON SUV500M8480G,447.1 GB,4309,NA,NA,Aug 2018,SSD
KINGSTON SUV500MS120G,111.8 GB,3387,NA,NA,May 2018,SSD
KINGSTON SUV500MS240G,223.6 GB,4208,NA,NA,Oct 2018,SSD
KINGSTON SV100S2,59.6 GB,1117,$119.99,9.31,Oct 2012,SSD
KINGSTON SV100S2128G,119.2 GB,1020,$237.45*,4.30,Dec 2010,SSD
KINGSTON SV100S2256G,238.5 GB,925,$406.20*,2.28,Dec 2010,SSD
KINGSTON SV100S232G,29.7 GB,666,$59.99*,11.10,Nov 2011,Unknown
KINGSTON SV100S264G,59.6 GB,957,$119.99*,7.98,Dec 2010,SSD
KINGSTON SV200S3,119.2 GB,1020,$585.45,1.74,Sep 2012,HDD
KINGSTON SV200S3128G,119.2 GB,1409,$75.95,18.55,Nov 2011,SSD
KINGSTON SV200S3256G,238.5 GB,796,$179.99*,4.42,Dec 2011,SSD
KINGSTON SV200S364G,59.5 GB,980,$69.98*,14.00,Dec 2011,Unknown
KINGSTON SV300S3,111.8 GB,2777,NA,NA,Jan 2013,SSD
KINGSTON SV300S3240G,223.6 GB,3004,$94.90*,31.65,Feb 2013,SSD
KINGSTON SV300S37A 120G,111.8 GB,1864,NA,NA,May 2017,SSD
KINGSTON SV300S37A 240G,223.6 GB,2799,NA,NA,Nov 2016,SSD
KINGSTON SV300S37A12,111.8 GB,1424,NA,NA,Mar 2013,HDD
KINGSTON SV300S37A120G,111.8 GB,2443,NA,NA,Dec 2012,SSD
KINGSTON SV300S37A120G 120.0GB,111.8 GB,4497,NA,NA,Apr 2016,SSD
Kingston SV300S37A120G USB,118 GB,1796,NA,NA,Aug 2015,SSD
KINGSTON SV300S37A24,223.6 GB,1593,NA,NA,Sep 2013,HDD
KINGSTON SV300S37A240G,223.6 GB,3135,NA,NA,Feb 2013,SSD
KINGSTON SV300S37A480G,447.1 GB,3240,NA,NA,Mar 2014,SSD
KINGSTON SV300S37A60,55.9 GB,1320,NA,NA,Feb 2013,HDD
KINGSTON SV300S37A60G,55.9 GB,2101,NA,NA,Dec 2012,SSD
KINGSTON SV310S37A960G,894.3 GB,2914,NA,NA,Dec 2014,SSD
KINGSTON SVP100S,89.4 GB,1330,NA,NA,Dec 2012,SSD
KINGSTON SVP100S2128G,59.5 GB,1397,$102.99*,13.56,Jan 2011,SSD
KINGSTON SVP100S2256G,238.5 GB,1234,$61.59,20.04,Mar 2014,SSD
KINGSTON SVP100S2512G,476.9 GB,1373,$325.00*,4.22,May 2013,SSD
KINGSTON SVP100S264G,59.6 GB,1248,$121.54*,10.27,Dec 2010,SSD
KINGSTON SVP100S296G,89.4 GB,1320,NA,NA,Jan 2011,SSD
KINGSTON SVP180S264G,59.6 GB,1232,NA,NA,Oct 2013,SSD
KINGSTON SVP200S,223.6 GB,2497,NA,NA,Oct 2012,SSD
KINGSTON SVP200S3120G,111.8 GB,2126,$237.99,8.93,Feb 2012,SSD
KINGSTON SVP200S3240G,100.7 GB,2524,$98.95*,25.51,Feb 2012,SSD
KINGSTON SVP200S3480G,447.1 GB,2596,$514.25*,5.05,Oct 2012,SSD
KINGSTON SVP200S37A1,111.8 GB,1490,NA,NA,Jan 2014,SSD
KINGSTON SVP200S37A120G,111.8 GB,2168,NA,NA,Aug 2012,SSD
KINGSTON SVP200S37A240G,223.6 GB,2695,$222.23*,12.13,Oct 2012,SSD
KINGSTON SVP200S37A256G,238.5 GB,2869,NA,NA,Mar 2013,SSD
KINGSTON SVP200S37A6,55.9 GB,1604,NA,NA,Jan 2014,SSD
KINGSTON SVP200S37A60G,55.9 GB,1669,NA,NA,Dec 2012,SSD
KINGSTON SVP200S37A90G,83.8 GB,2009,NA,NA,Oct 2012,SSD
KINGSTON SVP200S390G,83.8 GB,2032,$119.23,17.04,Oct 2012,SSD
Kingston T52732,28.5 GB,603,NA,NA,Dec 2016,HDD
KLEVV SSD NEO N500 120GB,111.8 GB,1836,NA,NA,Nov 2018,SSD
Laufwerk,111.8 GB,2636,NA,NA,Nov 2013,SSD
LDLC,119.2 GB,2726,NA,NA,Aug 2016,SSD
Lecteur de disque,298.1 GB,589,NA,NA,Feb 2013,HDD
Lenovo AH6661 512GB,476.9 GB,12414,NA,NA,Jun 2017,SSD
Lenovo SSD ST510 120G,111.8 GB,3859,NA,NA,Oct 2016,SSD
LENSE20256GMSP34MEAT2TA,238.5 GB,9608,NA,NA,Feb 2018,SSD
LENSE20512GMSP34MEAT2TA,476.9 GB,11177,NA,NA,Oct 2017,SSD
LENSE30512GMSP34MEAT3TA,476.9 GB,12367,NA,NA,Aug 2018,SSD
LITEON CA1-8D128,119.2 GB,6903,NA,NA,Dec 2017,SSD
LITEON CA1-8D128-HP,119.2 GB,7372,NA,NA,Jul 2017,SSD
LITEON CA1-8D256,238.5 GB,10487,NA,NA,Feb 2018,SSD
LITEON CA1-8D256-HP,238.5 GB,10547,NA,NA,Nov 2017,SSD
LITEON CA3-8D128-HP,119.2 GB,7289,NA,NA,Dec 2018,SSD
LITEON CA3-8D256,238.5 GB,12901,NA,NA,Jul 2018,SSD
LITEON CA3-8D512,476.9 GB,15299,NA,NA,Jul 2018,SSD
LITEON CB1-SD256,238.5 GB,7216,NA,NA,Dec 2017,SSD
LITEON CB1-SD512,476.9 GB,6853,NA,NA,Dec 2017,SSD
LITEON CS1-SP32,29.8 GB,2128,NA,NA,Jun 2016,SSD
LITEON CS1-SP32-11 M.2 2242 32GB,29.8 GB,1645,NA,NA,Jul 2015,SSD
LITEON CV1-8B128,119.2 GB,2854,NA,NA,Nov 2015,SSD
LITEON CV1-8B128-HP,119.2 GB,3041,NA,NA,May 2016,SSD
LITEON CV1-8B256,238.5 GB,3548,NA,NA,Dec 2015,SSD
LITEON CV1-8B256-HP,238.5 GB,3666,NA,NA,Mar 2016,SSD
LITEON CV1-8B512,476.9 GB,4027,NA,NA,Nov 2015,SSD
LITEON CV1-8B512-HP,476.9 GB,4151,NA,NA,Mar 2016,SSD
LITEON CV1-8B64,59.6 GB,2330,NA,NA,Jan 2016,SSD
LITEON CV1-CC128,119.2 GB,2966,NA,NA,Apr 2016,SSD
LITEON CV1-CC128-11 2.5 7mm 128GB,119.2 GB,2348,NA,NA,Sep 2015,SSD
LITEON CV1-CC256,238.5 GB,3579,NA,NA,Aug 2016,SSD
LITEON CV1-DB256,238.5 GB,3598,NA,NA,Oct 2015,SSD
LITEON CV3-8D128,119.2 GB,3361,NA,NA,Jul 2016,SSD
LITEON CV3-8D128-11 128GB,119.2 GB,3349,NA,NA,Nov 2016,SSD
LITEON CV3-8D128-11 SAT,119.2 GB,3456,NA,NA,Jun 2016,SSD
LITEON CV3-8D128-HP,119.2 GB,3643,NA,NA,Oct 2017,SSD
LITEON CV3-8D256,238.5 GB,3829,NA,NA,Jul 2016,SSD
LITEON CV3-8D256-11 256GB,238.5 GB,3721,NA,NA,Sep 2016,SSD
LITEON CV3-8D512,476.9 GB,4024,NA,NA,Oct 2016,SSD
LITEON CV3-8D512-11 512GB,476.9 GB,3736,NA,NA,Sep 2016,SSD
LITEON CV3-CE128,119.2 GB,3444,NA,NA,Nov 2016,SSD
LITEON CV3-CE128-11 128GB,119.2 GB,3171,NA,NA,Sep 2016,SSD
LITEON CV3-CE256,238.5 GB,3462,NA,NA,Dec 2016,SSD
LITEON CV3-CE256-11 256GB,238.5 GB,3848,NA,NA,Jul 2016,SSD
LITEON CV3-CE256-HP,238.5 GB,3912,NA,NA,Feb 2018,SSD
LITEON CV3-CE512-11 512GB,476.9 GB,3923,NA,NA,Sep 2016,SSD
LITEON CV3-DE128,119.2 GB,2937,NA,NA,Oct 2017,SSD
LITEON CV3-DE256,238.5 GB,3781,NA,NA,Jul 2016,SSD
LITEON CV3-DE512,476.9 GB,3967,NA,NA,Oct 2016,SSD
LITEON CV3-SD256,238.5 GB,4039,NA,NA,Dec 2016,SSD
LITEON CV5-8Q256-HP,238.5 GB,3683,NA,NA,Jan 2017,SSD
LITEON CV6-8Q128,119.2 GB,2741,NA,NA,Nov 2017,SSD
LITEON CV8-8E128-11 128GB,119.2 GB,3036,NA,NA,Dec 2017,SSD
LITEON CV8-8E128-HP,119.2 GB,3343,NA,NA,Sep 2018,SSD
LITEON CV8-8E256,238.5 GB,3506,NA,NA,May 2018,SSD
LITEON CV8-8E256-11 256GB,238.5 GB,3721,NA,NA,Aug 2018,SSD
LITEON CX1-JB256-HP,238.5 GB,4040,NA,NA,May 2016,SSD
LITEON CX1-JB512-HP,476.9 GB,5386,NA,NA,Jan 2016,SSD
LITEON CX2-8B256,238.5 GB,10051,NA,NA,Apr 2017,SSD
LiteOn CX2-8B256-Q11 256GB NVMe,238.5 GB,9675,NA,NA,Jul 2016,SSD
LITEON CX2-8B512,476.9 GB,12959,NA,NA,Nov 2017,SSD
LiteOn CX2-8B512-Q11 512GB NVMe,476.9 GB,11453,NA,NA,Jul 2016,SSD
LITEON CX2-GB1024-Q11 NVMe 1TB,953.9 GB,12481,NA,NA,Nov 2016,SSD
LITEON ECE-240NAS,223.6 GB,3801,NA,NA,Dec 2017,SSD
LITEON I T SCS-128L9S,119.2 GB,3007,NA,NA,Mar 2015,SSD
LITEON IT L8H-128V2G,119.2 GB,2760,NA,NA,Feb 2015,SSD
LITEON IT L8H-64V2G,59.6 GB,2178,NA,NA,Mar 2015,SSD
LITEON IT L8T-128L9G,119.2 GB,3149,NA,NA,Feb 2015,SSD
LITEON IT L8T-256L9G,238.5 GB,3572,NA,NA,Oct 2014,SSD
LITEON IT L8T-256L9G-HH,238.5 GB,4211,NA,NA,Jul 2015,SSD
LITEON IT L8T-256L9G-HP,238.5 GB,3786,NA,NA,Feb 2015,SSD
LITEON IT L8T-64L9G,55.9 GB,2610,NA,NA,Jan 2015,SSD
LITEON IT LCS-128L9S,119.2 GB,3270,NA,NA,Aug 2014,SSD
LITEON IT LCS-128L9S-11 2.5 7mm 128GB,119.2 GB,3320,NA,NA,May 2014,SSD
LITEON IT LCS-128L9S-HH,119.2 GB,3339,NA,NA,Jan 2015,SSD
LITEON IT LCS-128L9S-HP,119.2 GB,3382,NA,NA,Jan 2015,SSD
LITEON IT LCS-25,238.5 GB,3961,NA,NA,Jun 2014,SSD
LITEON IT LCS-256L9S,238.5 GB,3527,NA,NA,Feb 2015,SSD
LITEON IT LCS-256L9S-11,238.5 GB,3531,NA,NA,Apr 2014,SSD
LITEON IT LCS-256L9S-11 2.5 7mm 256GB,238.5 GB,3447,NA,NA,Aug 2014,SSD
LITEON IT LCS-256L9S-HP,238.5 GB,3695,NA,NA,Sep 2015,SSD
LITEON IT LCT-512L9S,476.9 GB,3723,NA,NA,May 2015,SSD
LITEON IT LDS-128L9S,119.2 GB,2744,NA,NA,May 2015,SSD
LITEON IT LDS-256L9S,238.5 GB,3695,NA,NA,Jul 2015,SSD
LITEON IT LGT-512L9G,476.9 GB,3806,NA,NA,Apr 2015,SSD
LITEON IT LMH-256V2M,238.5 GB,3137,NA,NA,Aug 2015,SSD
LITEON IT LMT-128L9M,119.2 GB,3462,NA,NA,Sep 2014,SSD
LITEON IT LMT-128L9M-11 MSATA 128GB,119.2 GB,3117,NA,NA,Jul 2014,SSD
LITEON IT LMT-256L9M,238.5 GB,3994,NA,NA,Mar 2015,SSD
LITEON IT LMT-256L9M-11,238.5 GB,4264,NA,NA,May 2014,SSD
LITEON IT LMT-256L9M-11 MSATA 256GB,238.5 GB,3695,NA,NA,May 2014,SSD
LITEON IT LST-32S9G-HP,29.8 GB,2364,NA,NA,Feb 2017,SSD
LITEON IT N3-L2128,119.2 GB,2856,NA,NA,Feb 2014,SSD
LITEON IT SCS-128L9S,119.2 GB,2604,NA,NA,Mar 2015,SSD
LITEON IT SCS-256L9S,238.5 GB,2979,NA,NA,Mar 2015,SSD
LITEON IT SMS-128L9M,119.2 GB,3641,NA,NA,May 2015,SSD
LITEON L CH-256V2S-HP,238.5 GB,3453,NA,NA,Jan 2016,SSD
LITEON L8H-128V2G-11 M.2 2280 128GB,119.2 GB,2625,NA,NA,Jul 2015,SSD
LITEON L8H-128V2G-HP,119.2 GB,2644,NA,NA,Oct 2015,SSD
LITEON L8H-256V2G,238.5 GB,3403,NA,NA,Nov 2015,SSD
LITEON L8H-256V2G-11 M.,238.5 GB,3556,NA,NA,Jan 2016,SSD
LITEON L8H-256V2G-11 M.2 2280 256GB,238.5 GB,3428,NA,NA,May 2015,SSD
LITEON L8H-256V2G-41 M.2 2280 256GB SED,238.5 GB,3546,NA,NA,Apr 2016,SSD
LITEON L8H-256V2G-HP,238.5 GB,3262,NA,NA,Jun 2015,SSD
LITEON LCH-128V2S,119.2 GB,2456,NA,NA,Jan 2015,SSD
LITEON LCH-128V2S-11 2.5 7mm 128GB,119.2 GB,2728,NA,NA,Oct 2015,SSD
LITEON LCH-128V2S-11 22,119.2 GB,2970,NA,NA,Jul 2015,SSD
LITEON LCH-128V2S-HP,119.2 GB,2450,NA,NA,Jul 2015,SSD
LITEON LCH-256V2S,238.5 GB,3376,NA,NA,Oct 2015,SSD
LITEON LCH-256V2S-11 2.5,238.5 GB,2652,NA,NA,Mar 2016,SSD
LITEON LCH-256V2S-11 2.5 7mm 256GB,238.5 GB,3338,NA,NA,Sep 2015,SSD
LITEON LCH-256V2S-11 22,238.5 GB,3419,NA,NA,Apr 2015,SSD
LITEON LCH-256V2S-HP,238.5 GB,3245,NA,NA,Sep 2015,SSD
LITEON LCH-512V2S,476.9 GB,3879,NA,NA,Jun 2015,SSD
LITEON LCH-512V2S-11 2.,476.9 GB,4415,NA,NA,Mar 2016,SSD
LITEON LCH-512V2S-11 2.5 7mm 512GB,476.9 GB,3567,NA,NA,May 2015,SSD
LITEON LDH-256V2S,238.5 GB,3222,NA,NA,Jul 2015,SSD
LITEON LGH-512V2G,476.9 GB,3603,NA,NA,Aug 2015,SSD
LITEON LGH-512V2G-11 M.2 2280 512GB,476.9 GB,3836,NA,NA,Jan 2016,SSD
LITEON LJH-128V2G-11 M.2 2260 128GB,119.2 GB,2861,NA,NA,Oct 2015,SSD
LITEON LJH-256V2G-11 M.2 2260 256GB,238.5 GB,3298,NA,NA,Sep 2015,SSD
LITEON LJH-256V2G-41 M.2 2260 256GB SED,238.5 GB,7217,NA,NA,Apr 2017,SSD
LITEON LMH-128V2M-11 MSATA 128GB,119.2 GB,2650,NA,NA,Jun 2015,SSD
LITEON LMH-256V2M,238.5 GB,3323,NA,NA,Aug 2016,SSD
LITEON LMH-256V2M-11 MM,238.5 GB,3712,NA,NA,Oct 2015,SSD
LITEON LMH-256V2M-11 MSATA 256GB,238.5 GB,3141,NA,NA,Mar 2015,SSD
LITEON LMH-512V2M-11 MSATA 512GB,476.9 GB,3355,NA,NA,Aug 2015,SSD
LITEON T10 240,223.6 GB,11962,NA,NA,Apr 2017,SSD
LITEON T9 256,238.5 GB,3803,NA,NA,Sep 2016,SSD
LITEON V2S pro 128,119.2 GB,2049,NA,NA,May 2017,SSD
LITEONIT 128GB LAT-128M2S,119.1 GB,2280,NA,NA,Jun 2011,SSD
LITEONIT 128GB LCT-128M3S,119.2 GB,2707,NA,NA,Dec 2012,SSD
LITEONIT 128GB LMT-128M3M,119.2 GB,3235,NA,NA,Nov 2012,SSD
LITEONIT 160GB E200-160,149 GB,2541,NA,NA,Nov 2012,SSD
LITEONIT 256GB LAT-256M2S,238.4 GB,2637,NA,NA,Mar 2011,SSD
LITEONIT 256GB LAT-256M3S,238.5 GB,3530,NA,NA,Mar 2012,SSD
LITEONIT 256GB LCT-256M3S,238.5 GB,3347,NA,NA,Oct 2012,SSD
LITEONIT 256GB LMT-256M3M,238.5 GB,3501,NA,NA,Dec 2012,SSD
LITEONIT 32GB LMT-32L3M,29.8 GB,1556,NA,NA,Nov 2012,SSD
LITEONIT 512GB LCT-512M3S,476.9 GB,3665,NA,NA,Dec 2012,SSD
LITEONIT DMT-80M6M-11 mS,74.5 GB,2079,NA,NA,Nov 2014,SSD
LITEONIT DMT-80M6M-11 mSATA 80GB,74.5 GB,2774,NA,NA,Oct 2014,SSD
LITEONIT E200-080,74.5 GB,2369,NA,NA,Jun 2013,SSD
LITEONIT L8T-128L6G-HP,119.2 GB,3263,NA,NA,Dec 2013,SSD
LITEONIT L8T-128L9G-11 M.2 2280 128GB,119.2 GB,3453,NA,NA,Jan 2015,SSD
LITEONIT L8T-256L9G-11 M.2 2280 256GB,238.5 GB,3835,NA,NA,Jan 2015,SSD
LITEONIT L8T-64L6G-HP,59.6 GB,1978,NA,NA,Dec 2013,SSD
LITEONIT LAM-128M3S,119.2 GB,2013,NA,NA,Sep 2013,SSD
LITEONIT LAT-128M2S,119.2 GB,1674,NA,NA,Apr 2013,SSD
LITEONIT LAT-128M3S,119.2 GB,2809,NA,NA,Mar 2013,SSD
LITEONIT LAT-256M2S,238.5 GB,2942,NA,NA,Nov 2013,SSD
LITEONIT LAT-256M3S,238.5 GB,3361,NA,NA,Oct 2014,SSD
LITEONIT LAT-512M3S,476.9 GB,3175,NA,NA,Mar 2015,SSD
LITEONIT LAT-64M3S,59.6 GB,2899,NA,NA,Apr 2013,SSD
"LITEONIT LCM-128M3S 2.5""",119.2 GB,2971,NA,NA,Aug 2013,SSD
"LITEONIT LCM-128M3S 2.5"" 7mm 128GB",119.2 GB,2518,NA,NA,Nov 2013,SSD
LITEONIT LCM-256,238.5 GB,3375,NA,NA,Jan 2013,SSD
LITEONIT LCM-256M3S,238.5 GB,3925,NA,NA,Jul 2013,SSD
"LITEONIT LCM-256M3S 2.5"" 7mm 256GB",238.5 GB,3189,NA,NA,Mar 2013,SSD
LITEONIT LCS-128,119.2 GB,3406,NA,NA,Oct 2013,SSD
LITEONIT LCS-128L9S-11 2.5 7mm 128GB,119.2 GB,2697,NA,NA,Sep 2014,SSD
LITEONIT LCS-128L9S-11 22,119.2 GB,3542,NA,NA,Sep 2014,SSD
LITEONIT LCS-128M6S,119.2 GB,3230,NA,NA,Sep 2013,SSD
LITEONIT LCS-128M6S 2.5,119.2 GB,3502,NA,NA,May 2013,SSD
LITEONIT LCS-128M6S 2.5 7mm 128GB,119.2 GB,3118,NA,NA,Dec 2013,SSD
LITEONIT LCS-128M6S-HP,119.2 GB,3375,NA,NA,Jan 2014,SSD
LITEONIT LCS-180M6S-11 2.5 7mm 180GB,167.7 GB,3945,NA,NA,Aug 2016,SSD
LITEONIT LCS-256L9S-11 2,238.5 GB,3646,NA,NA,May 2015,SSD
LITEONIT LCS-256L9S-11 2.5 7mm 256GB,238.5 GB,3573,NA,NA,Oct 2014,SSD
LITEONIT LCS-256L9S-11 22,238.5 GB,4036,NA,NA,Sep 2014,SSD
LITEONIT LCS-256M6S,238.5 GB,3508,NA,NA,Aug 2013,SSD
LITEONIT LCS-256M6S 2.5,238.5 GB,3834,NA,NA,Apr 2013,SSD
LITEONIT LCS-256M6S 2.5 7mm 256GB,238.5 GB,3614,NA,NA,Apr 2013,SSD
LITEONIT LCS-512,476.9 GB,3639,NA,NA,Nov 2013,SSD
LITEONIT LCS-512M6S 2.5,476.9 GB,3789,NA,NA,Apr 2013,SSD
LITEONIT LCS-512M6S 2.5 7mm 512GB,476.9 GB,3786,NA,NA,Jul 2013,SSD
LITEONIT LCT-128,119.2 GB,3148,NA,NA,Mar 2013,SSD
LITEONIT LCT-128M3S,119.2 GB,2620,NA,NA,Dec 2013,SSD
LITEONIT LCT-128M3S 2.5,119.2 GB,2852,NA,NA,Jul 2014,SSD
LITEONIT LCT-128M3S 2.5 7mm 128GB,119.2 GB,2599,NA,NA,Oct 2013,SSD
LITEONIT LCT-256M3S,238.5 GB,3536,NA,NA,Jul 2014,SSD
LITEONIT LCT-256M3S 2.5,238.5 GB,3653,NA,NA,Apr 2013,SSD
LITEONIT LCT-256M3S 2.5 7mm 256GB,238.5 GB,3244,NA,NA,Mar 2013,SSD
LITEONIT LCT-256M3S-41 7mm 256GB FDE,238.5 GB,2605,NA,NA,Nov 2013,SSD
LITEONIT LCT-512,476.9 GB,3899,NA,NA,Jan 2013,SSD
LITEONIT LCT-512L9S-11 2.5 7mm 512GB,476.9 GB,3908,NA,NA,Aug 2015,SSD
LITEONIT LCT-512M3S 2.5 7mm 512GB,476.9 GB,3513,NA,NA,Mar 2014,SSD
LITEONIT LE-128M1S,119.2 GB,554,NA,NA,Jun 2013,SSD
LITEONIT LGT-128M6G,119.2 GB,2829,NA,NA,Aug 2014,SSD
LITEONIT LGT-256M6G,238.5 GB,3516,NA,NA,Apr 2014,SSD
LITEONIT LGT-512L9G-11 M.2 2280 512GB,476.9 GB,3823,NA,NA,Jul 2015,SSD
LITEONIT LGT-512L9G-11 MM,476.9 GB,4069,NA,NA,Jul 2015,SSD
LITEONIT LITEONIT LCS-128,119.2 GB,3743,NA,NA,Sep 2013,SSD
LITEONIT LITEONIT LCS-512,476.9 GB,4224,NA,NA,Nov 2013,SSD
LITEONIT LJT-128L6G-11 M.2 2260 128GB,119.2 GB,3251,NA,NA,Dec 2013,SSD
LITEONIT LJT-256L6G-11 M.2 2260 256GB,238.5 GB,3429,NA,NA,Feb 2014,SSD
LITEONIT LMH-256V2M-41 MSATA 256GB SED,238.5 GB,2711,NA,NA,Sep 2015,SSD
LITEONIT LMT-128,119.2 GB,3195,NA,NA,Apr 2013,SSD
LITEONIT LMT-128L9M-11 MSATA 128GB,119.2 GB,3559,NA,NA,Apr 2015,SSD
